key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,97802,9.6772,-65.1101,112.247
highway,9166,0.9069,-83.1225,2.6714
name,1565,0.1549,-56.6482,163.7235
source,1444,0.1429,-89.0772,-33.5527
import,1109,0.1097,-90.8724,-44.4739
surface,897,0.0888,-83.8582,-1.804
waterway,763,0.0755,-60.343,141.2465
amenity,267,0.0264,67.9245,921.5409
layer,227,0.0225,-79.7863,22.9668
bridge,216,0.0214,-80.0185,21.5541
addr:street,194,0.0192,148.7179,1413.0342
religion,169,0.0167,212.963,1803.858
area,151,0.0149,1577.7778,10106.4815
oneway,147,0.0145,-88.8298,-32.0479
power,136,0.0135,-65.3944,110.5174
natural,121,0.012,-34.5946,297.8829
barrier,119,0.0118,11800.0,72291.6667
landuse,99,0.0098,135.7143,1333.9286
man_made,60,0.0059,15.3846,601.9231
leisure,54,0.0053,125.0,1268.75
name:en,52,0.0051,6.1224,545.5782
operator,49,0.0048,390.0,2880.8333
admin_level,48,0.0047,-2.0408,495.9184
boundary,48,0.0047,-2.0408,495.9184
ford,48,0.0047,-41.4634,256.0976
fixme,37,0.0037,-82.7907,4.6899
boat,36,0.0036,176.9231,1584.6154
description,36,0.0036,260.0,2090.0
place,32,0.0032,77.7778,981.4815
website,29,0.0029,141.6667,1370.1389
alt_name,28,0.0028,100.0,1116.6667
noname,28,0.0028,21.7391,640.5797
phone,26,0.0026,271.4286,2159.5238
social_facility,24,0.0024,2300.0,14500.0
aeroway,23,0.0023,76.9231,976.2821
office,22,0.0022,4.7619,537.3016
motorcycle,21,0.0021,-80.5556,18.287
ref,20,0.002,-87.3418,-22.9958
type,20,0.002,150.0,1420.8333
note,18,0.0018,-43.75,242.1875
household,17,0.0017,1600.0,10241.6667
social_facility:for,17,0.0017,1600.0,10241.6667
tourism,17,0.0017,-5.5556,474.537
addr:city,16,0.0016,-68.0,94.6667
tunnel,16,0.0016,-52.9412,186.2745
denomination,15,0.0015,200.0,1725.0
sport,12,0.0012,0.0,508.3333
intermittent,11,0.0011,57.1429,855.9524
tracktype,11,0.0011,1000.0,6591.6667
addr:housenumber,10,0.001,-16.6667,406.9444
wikipedia,10,0.001,-80.7692,16.9872
foot,9,0.0009,-97.9638,-87.6131
is_in:country,9,0.0009,-25.0,356.25
tower:type,9,0.0009,80.0,995.0
water,9,0.0009,50.0,812.5
addr:postcode,8,0.0008,-11.1111,440.7407
is_in:state,8,0.0008,0.0,508.3333
maxspeed,8,0.0008,-52.9412,186.2745
voltage,8,0.0008,-42.8571,247.619
wikidata,8,0.0008,-82.9787,3.5461
Source,7,0.0007,-85.1064,-9.3972
access,7,0.0007,-98.3173,-89.7636
building:levels,7,0.0007,600.0,4158.3333
airmark,6,0.0006,500.0,3550.0
ele,6,0.0006,500.0,3550.0
beacon:code,5,0.0005,400.0,2941.6667
beacon:frequency,5,0.0005,400.0,2941.6667
beacon:type,5,0.0005,400.0,2941.6667
healthcare,5,0.0005,400.0,2941.6667
length,5,0.0005,400.0,2941.6667
width,5,0.0005,150.0,1420.8333
iata,4,0.0004,-20.0,386.6667
icao,4,0.0004,-20.0,386.6667
is_in:country_code,4,0.0004,0.0,508.3333
name:ja,4,0.0004,0.0,508.3333
name:zh,4,0.0004,100.0,1116.6667
service,4,0.0004,-92.4528,-54.0881
alt_name:en,3,0.0003,-25.0,356.25
emergency,3,0.0003,200.0,1725.0
frequency,3,0.0003,-66.6667,102.7778
is_in:county,3,0.0003,-25.0,356.25
is_in:region,3,0.0003,-25.0,356.25
motor_vehicle,3,0.0003,-97.8102,-86.6788
name:uk,3,0.0003,200.0,1725.0
population,3,0.0003,200.0,1725.0
quantity,3,0.0003,200.0,1725.0
shop,3,0.0003,-86.3636,-17.0455
source:population,3,0.0003,200.0,1725.0
culvert,2,0.0002,100.0,1116.6667
gns:dsg,2,0.0002,-50.0,204.1667
is_capital,2,0.0002,100.0,1116.6667
is_in:continent,2,0.0002,100.0,1116.6667
is_in:island,2,0.0002,100.0,1116.6667
land_use,2,0.0002,100.0,1116.6667
lit,2,0.0002,-60.0,143.3333
name:ko,2,0.0002,0.0,508.3333
name:ru,2,0.0002,100.0,1116.6667
port,2,0.0002,100.0,1116.6667
reservoir_type,2,0.0002,100.0,1116.6667
addr:housename,1,0.0001,-80.0,21.6667
bicycle,1,0.0001,-99.75,-98.4792
capital,1,0.0001,0.0,508.3333
communication:mobile_phone,1,0.0001,0.0,508.3333
crane:type,1,0.0001,0.0,508.3333
ferry,1,0.0001,0.0,508.3333
history,1,0.0001,-66.6667,102.7778
horse,1,0.0001,-99.7396,-98.4158
incline,1,0.0001,-93.3333,-59.4444
junction,1,0.0001,-97.0588,-82.1078
landuse_1,1,0.0001,0.0,508.3333
lanes,1,0.0001,-66.6667,102.7778
motorcar,1,0.0001,-94.1176,-64.2157
name:id,1,0.0001,0.0,508.3333
opening_hours,1,0.0001,-88.8889,-32.4074
prominence,1,0.0001,0.0,508.3333
public_transport,1,0.0001,0.0,508.3333
shelter,1,0.0001,0.0,508.3333
source: prominence,1,0.0001,0.0,508.3333
