key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,285457,4.9965,0.0,0.0
highway,121738,2.1308,0.0,0.0
name,38557,0.6749,0.0,0.0
tiger:county,29059,0.5086,0.0,0.0
tiger:cfcc,28939,0.5065,0.0,0.0
power,27732,0.4854,0.0,0.0
tiger:reviewed,21481,0.376,0.0,0.0
tiger:name_base,18388,0.3219,0.0,0.0
material,16465,0.2882,0.0,0.0
oneway,15879,0.2779,0.0,0.0
source,15846,0.2774,0.0,0.0
tiger:name_type,15203,0.2661,0.0,0.0
surface,12399,0.217,0.0,0.0
import,12141,0.2125,0.0,0.0
service,9841,0.1723,0.0,0.0
tiger:zip_left,9600,0.168,0.0,0.0
tiger:zip_right,8752,0.1532,0.0,0.0
railway,7695,0.1347,0.0,0.0
lanes,5083,0.089,0.0,0.0
ref,4847,0.0848,0.0,0.0
tiger:name_base_1,4423,0.0774,0.0,0.0
gauge,3920,0.0686,0.0,0.0
amenity,3512,0.0615,0.0,0.0
access,3367,0.0589,0.0,0.0
addr:state,3071,0.0538,0.0,0.0
waterway,3023,0.0529,0.0,0.0
layer,2830,0.0495,0.0,0.0
is_in,2682,0.0469,0.0,0.0
bridge,2661,0.0466,0.0,0.0
addr:street,2562,0.0448,0.0,0.0
addr:city,2543,0.0445,0.0,0.0
addr:housenumber,2378,0.0416,0.0,0.0
addr:postcode,2357,0.0413,0.0,0.0
voltage,2291,0.0401,0.0,0.0
frequency,2277,0.0399,0.0,0.0
natural,2243,0.0393,0.0,0.0
landuse,2196,0.0384,0.0,0.0
leisure,2079,0.0364,0.0,0.0
cables,2023,0.0354,0.0,0.0
maxspeed,1885,0.033,0.0,0.0
tiger:name_type_1,1668,0.0292,0.0,0.0
tiger:name_direction_prefix,1664,0.0291,0.0,0.0
operator,1624,0.0284,0.0,0.0
bicycle,1611,0.0282,0.0,0.0
turn:lanes,1605,0.0281,0.0,0.0
foot,1439,0.0252,0.0,0.0
old_ref,1433,0.0251,0.0,0.0
barrier,1391,0.0243,0.0,0.0
name_1,1326,0.0232,0.0,0.0
ele,1221,0.0214,0.0,0.0
aeroway,1050,0.0184,0.0,0.0
boundary,935,0.0164,0.0,0.0
circuits,828,0.0145,0.0,0.0
admin_level,794,0.0139,0.0,0.0
gnis:feature_id,787,0.0138,0.0,0.0
NHS,754,0.0132,0.0,0.0
gnis:created,738,0.0129,0.0,0.0
phone,682,0.0119,0.0,0.0
gnis:county_id,678,0.0119,0.0,0.0
gnis:state_id,678,0.0119,0.0,0.0
website,675,0.0118,0.0,0.0
border_type,671,0.0117,0.0,0.0
line,657,0.0115,0.0,0.0
horse,655,0.0115,0.0,0.0
place,622,0.0109,0.0,0.0
shop,611,0.0107,0.0,0.0
motor_vehicle,609,0.0107,0.0,0.0
sport,606,0.0106,0.0,0.0
tiger:name_base_2,589,0.0103,0.0,0.0
tiger:zip_left_1,555,0.0097,0.0,0.0
man_made,547,0.0096,0.0,0.0
opening_hours,532,0.0093,0.0,0.0
footway,529,0.0093,0.0,0.0
note,511,0.0089,0.0,0.0
old_railway_operator,494,0.0086,0.0,0.0
tiger:source,491,0.0086,0.0,0.0
lit,487,0.0085,0.0,0.0
tiger:tlid,479,0.0084,0.0,0.0
tiger:separated,474,0.0083,0.0,0.0
postal_code,463,0.0081,0.0,0.0
usage,439,0.0077,0.0,0.0
cuisine,438,0.0077,0.0,0.0
lanes:forward,434,0.0076,0.0,0.0
old_name,433,0.0076,0.0,0.0
lanes:backward,424,0.0074,0.0,0.0
wikidata,399,0.007,0.0,0.0
toll,397,0.0069,0.0,0.0
golf,396,0.0069,0.0,0.0
crossing,364,0.0064,0.0,0.0
loc_name,356,0.0062,0.0,0.0
tunnel,345,0.006,0.0,0.0
hgv,344,0.006,0.0,0.0
gnis:id,342,0.006,0.0,0.0
tourism,328,0.0057,0.0,0.0
traffic_signals,318,0.0056,0.0,0.0
fixme,315,0.0055,0.0,0.0
water,315,0.0055,0.0,0.0
parking,308,0.0054,0.0,0.0
tiger:name_type_2,301,0.0053,0.0,0.0
gnis:ST_alpha,299,0.0052,0.0,0.0
