key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,955139,18.4383,73.1767,73.1767
highway,498273,9.6188,26.1285,26.1285
name,221584,4.2775,81.0135,81.0135
source,164725,3.1799,80.0313,80.0313
surface,97381,1.8799,102.1779,102.1779
oneway,62006,1.197,52.7467,52.7467
natural,61822,1.1934,387.0175,387.0175
attribute_source_date,51923,1.0023,324418.75,324418.75
landuse,51866,1.0012,302.062,302.062
tiger:county,49805,0.9615,73.7545,73.7545
attribute_source_type,49593,0.9574,291623.5294,291623.5294
tiger:cfcc,49583,0.9572,73.7255,73.7255
amenity,45791,0.884,136.0482,136.0482
geometry_source_type,45431,0.877,239010.5263,239010.5263
geometry_source_date,45240,0.8733,282650.0,282650.0
addr:street,40528,0.7824,135.5731,135.5731
tiger:name_base,38086,0.7352,110.9911,110.9911
tiger:reviewed,35919,0.6934,69.3494,69.3494
operational_status,33288,0.6426,3522.198,3522.198
ref,32730,0.6318,48.5027,48.5027
tiger:name_type,32487,0.6271,117.8873,117.8873
operational_status_quality,31492,0.6079,4470.6821,4470.6821
SurfaceCondition,30277,0.5845,189131.25,189131.25
waterway,28813,0.5562,103.0514,103.0514
Surface,27758,0.5358,173387.5,173387.5
addr:city,27297,0.5269,158.1765,158.1765
lanes,27131,0.5237,59.4815,59.4815
maxspeed,27092,0.523,64.1442,64.1442
Practicability,26625,0.514,166306.25,166306.25
power,26476,0.5111,-21.1625,-21.1625
service,25299,0.4884,72.4187,72.4187
addr:housenumber,24577,0.4744,60.2047,60.2047
leaf_type,23434,0.4524,1134.0179,1134.0179
Operational_status,23323,0.4502,145668.75,145668.75
genus,22096,0.4265,1562.6035,1562.6035
species,21888,0.4225,1561.959,1561.959
species:it,21370,0.4125,1839.2015,1839.2015
genus:it,20882,0.4031,1837.1058,1837.1058
Operational_status_quality,20657,0.3988,129006.25,129006.25
tiger:zip_left,20396,0.3937,112.1269,112.1269
layer,19749,0.3812,56.1927,56.1927
tiger:zip_right,18669,0.3604,112.9706,112.9706
building:levels,17409,0.3361,93.0472,93.0472
access,16867,0.3256,111.1807,111.1807
practicability,15655,0.3022,2053.37,2053.37
addr:country,14777,0.2853,545.0022,545.0022
lit,14403,0.278,89.1399,89.1399
addr:postcode,13709,0.2646,110.5514,110.5514
operator,13475,0.2601,80.2676,80.2676
Geometry_source_type,13309,0.2569,83081.25,83081.25
barrier,12933,0.2497,160.2213,160.2213
Geometry_source_date,12272,0.2369,76600.0,76600.0
bridge,11801,0.2278,26.0656,26.0656
leisure,11775,0.2273,82.5581,82.5581
leaf_cycle,10984,0.212,1337.6963,1337.6963
species:wikidata,10820,0.2089,5944.6927,5944.6927
operator_type,10536,0.2034,13236.7089,13236.7089
bicycle,10164,0.1962,33.1936,33.1936
shop,9828,0.1897,114.7727,114.7727
roof:shape,9511,0.1836,1520.2726,1520.2726
building:use,9273,0.179,1072.3135,1072.3135
Attribute_source_date,9268,0.1789,57825.0,57825.0
Attribute_source_type,9256,0.1787,57750.0,57750.0
roof:material,9185,0.1773,3664.3443,3664.3443
building:adjacency,9078,0.1752,1049.1139,1049.1139
shape:plan,9066,0.175,1069.8065,1069.8065
import,8940,0.1726,-26.5105,-26.5105
foot,8887,0.1716,30.3653,30.3653
footway,8885,0.1715,75.6623,75.6623
building:levels:underground,8881,0.1714,40268.1818,40268.1818
building:irregularity,8879,0.1714,55393.75,55393.75
roof:cover:material,8878,0.1714,55387.5,55387.5
building:groundslope,8877,0.1714,55381.25,55381.25
roof_shade:present,8876,0.1713,55375.0,55375.0
physical:condition,8874,0.1713,55362.5,55362.5
wall:material,8869,0.1712,55331.25,55331.25
wall:thickness,8748,0.1689,54575.0,54575.0
phone,8601,0.166,98.4999,98.4999
place,8308,0.1604,3.2563,3.2563
website,8098,0.1563,159.5513,159.5513
Source,7803,0.1506,12285.7143,12285.7143
tiger:name_base_1,7555,0.1458,73.798,73.798
railway,7432,0.1435,-41.6228,-41.6228
surface_condition,7310,0.1411,33127.2727,33127.2727
smoothness,7238,0.1397,109.0699,109.0699
crossing,6578,0.127,-6.6686,-6.6686
tunnel,6505,0.1256,223.1495,223.1495
column:size:breadth,6482,0.1251,40412.5,40412.5
column:size:length,6482,0.1251,40412.5,40412.5
addr:district,5582,0.1078,508.7241,508.7241
source:maxspeed,5579,0.1077,397.6806,397.6806
public_transport,5529,0.1067,-25.9244,-25.9244
voltage,5353,0.1033,26.2202,26.2202
ford,5272,0.1018,371.5564,371.5564
floor:material,5264,0.1016,3129.4479,3129.4479
old_ref,5181,0.1,67.6699,67.6699
intermittent,5140,0.0992,489.4495,489.4495
opening_hours,5080,0.0981,99.2157,99.2157
boundary,5071,0.0979,13.6996,13.6996
note,4894,0.0945,182.8902,182.8902
is_in,4824,0.0931,62.8629,62.8629
frequency,4823,0.0931,21.2114,21.2114
name:en,4817,0.093,-22.4066,-22.4066
addr:state,4802,0.0927,53.125,53.125
sidewalk,4614,0.0891,79.4632,79.4632
building:adjacency:level,4561,0.088,28406.25,28406.25
type,4492,0.0867,2481.6092,2481.6092
admin_level,4386,0.0847,4.7528,4.7528
man_made,4254,0.0821,56.9742,56.9742
bus,4210,0.0813,-40.1223,-40.1223
wikidata,4186,0.0808,22.6846,22.6846
water,3817,0.0737,227.078,227.078
tiger:name_direction_prefix,3741,0.0722,123.0769,123.0769
name:etymology:wikidata,3610,0.0697,4.3353,4.3353
tiger:name_type_1,3597,0.0694,118.1322,118.1322
tracktype,3581,0.0691,108.1977,108.1977
religion,3557,0.0687,75.1354,75.1354
cycleway:right,3545,0.0684,101.6496,101.6496
wheelchair,3396,0.0656,135.5062,135.5062
tactile_paving,3349,0.0647,8.8398,8.8398
damage:event,3300,0.0637,20525.0,20525.0
turn:lanes,3282,0.0634,75.508,75.508
cables,3265,0.063,47.6707,47.6707
wikipedia,3252,0.0628,32.9518,32.9518
tourism,3220,0.0622,77.5083,77.5083
gauge,3186,0.0615,-55.0635,-55.0635
network,3179,0.0614,-46.795,-46.795
motor_vehicle,3142,0.0607,70.2059,70.2059
building:adjacency:difference,3025,0.0584,18806.25,18806.25
scolar_type,3021,0.0583,18781.25,18781.25
height,2984,0.0576,134.9606,134.9606
circuits,2946,0.0569,234.7727,234.7727
scolar_district,2824,0.0545,17550.0,17550.0
width,2819,0.0544,126.9726,126.9726
id:ssid,2793,0.0539,14600.0,14600.0
ele,2791,0.0539,-20.8227,-20.8227
commune,2786,0.0538,12563.6364,12563.6364
junction,2757,0.0532,37.0278,37.0278
crossing:markings,2755,0.0532,621.2042,621.2042
households,2750,0.0531,15177.7778,15177.7778
sectional,2748,0.053,15166.6667,15166.6667
power_source,2736,0.0528,11300.0,11300.0
attribute_source_name,2728,0.0527,16950.0,16950.0
contact_person,2587,0.0499,2652.1277,2652.1277
horse,2587,0.0499,56.2198,56.2198
name_1,2573,0.0497,97.619,97.619
cycleway:both,2563,0.0495,55.0514,55.0514
