key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,school,7356,16.4141,136.0719,136.0719
amenity,parking,5575,12.44,88.6633,88.6633
amenity,place_of_worship,3367,7.5131,30.4533,30.4533
amenity,restaurant,2516,5.6142,86.3704,86.3704
amenity,hospital,2513,5.6075,342.4296,342.4296
amenity,parking_space,1634,3.6461,1756.8182,1756.8182
amenity,toilets,1556,3.4721,65.356,65.356
amenity,bench,1460,3.2578,159.325,159.325
amenity,drinking_water,1313,2.9298,-20.2309,-20.2309
amenity,pharmacy,1179,2.6308,-38.8168,-38.8168
amenity,fuel,1026,2.2894,81.5929,81.5929
amenity,fast_food,939,2.0953,78.8571,78.8571
amenity,bank,808,1.803,62.249,62.249
amenity,waste_basket,744,1.6602,239.726,239.726
amenity,fountain,707,1.5776,443.8462,443.8462
amenity,cafe,702,1.5664,44.7423,44.7423
amenity,bar,685,1.5285,191.4894,191.4894
amenity,shelter,598,1.3344,85.1393,85.1393
amenity,shower,559,1.2474,195.7672,195.7672
amenity,kindergarten,527,1.1759,167.5127,167.5127
amenity,bicycle_parking,467,1.0421,23.219,23.219
amenity,college,433,0.9662,124.3523,124.3523
amenity,street_light,361,0.8055,2908.3333,2908.3333
amenity,recycling,356,0.7944,19.4631,19.4631
amenity,police,325,0.7252,71.0526,71.0526
amenity,tap,317,0.7074,395.3125,395.3125
amenity,atm,311,0.694,117.4825,117.4825
amenity,university,279,0.6226,73.2919,73.2919
amenity,clinic,248,0.5534,21.5686,21.5686
amenity,community_centre,221,0.4931,71.3178,71.3178
amenity,library,203,0.453,-31.8792,-31.8792
amenity,bus_station,173,0.386,133.7838,133.7838
amenity,social_centre,167,0.3726,595.8333,595.8333
amenity,water_point,156,0.3481,345.7143,345.7143
amenity,charging_station,150,0.3347,-2.5974,-2.5974
amenity,ctc,144,0.3213,500.0,500.0
amenity,public_building,142,0.3169,54.3478,54.3478
amenity,waste_disposal,140,0.3124,40.0,40.0
amenity,post_office,140,0.3124,27.2727,27.2727
amenity,car_wash,132,0.2945,144.4444,144.4444
amenity,doctors,132,0.2945,78.3784,78.3784
amenity,dentist,132,0.2945,73.6842,73.6842
amenity,pub,130,0.2901,128.0702,128.0702
amenity,ice_cream,124,0.2767,51.2195,51.2195
amenity,marketplace,121,0.27,1.6807,1.6807
amenity,grave_yard,103,0.2298,-47.449,-47.449
amenity,social_facility,102,0.2276,117.0213,117.0213
amenity,community_information_kiosk,101,0.2254,676.9231,676.9231
amenity,utc,99,0.2209,160.5263,160.5263
amenity,market,98,0.2187,553.3333,553.3333
amenity,bbq,94,0.2098,526.6667,526.6667
amenity,motorcycle_parking,93,0.2075,111.3636,111.3636
amenity,nightclub,89,0.1986,169.697,169.697
amenity,townhall,83,0.1852,56.6038,56.6038
amenity,vending_machine,81,0.1807,-12.9032,-12.9032
amenity,abri temporaire,76,0.1696,533.3333,533.3333
amenity,theatre,74,0.1651,89.7436,89.7436
amenity,studio,72,0.1607,105.7143,105.7143
amenity,cinema,70,0.1562,-4.1096,-4.1096
amenity,veterinary,69,0.154,43.75,43.75
amenity,bicycle_rental,68,0.1517,183.3333,183.3333
amenity,fire_station,67,0.1495,34.0,34.0
amenity,taxi,65,0.145,140.7407,140.7407
amenity,parking_entrance,64,0.1428,20.7547,20.7547
amenity,car_rental,60,0.1339,76.4706,76.4706
amenity,communal_cooking_area,55,0.1227,358.3333,358.3333
amenity,cro,55,0.1227,71.875,71.875
amenity,arts_centre,53,0.1183,51.4286,51.4286
amenity,bureau_de_change,50,0.1116,42.8571,42.8571
amenity,childcare,46,0.1026,76.9231,76.9231
amenity,radio chimen lakay,45,0.1004,275.0,275.0
amenity,shop,43,0.096,-8.5106,-8.5106
amenity,courthouse,42,0.0937,23.5294,23.5294
amenity,post_box,39,0.087,-23.5294,-23.5294
amenity,eau_brute,36,0.0803,200.0,200.0
amenity,CRO,33,0.0736,57.1429,57.1429
amenity,pont,33,0.0736,175.0,175.0
amenity,telephone,31,0.0692,-16.2162,-16.2162
amenity,embassy,31,0.0692,-46.5517,-46.5517
amenity,food_court,26,0.058,-23.5294,-23.5294
amenity,ferry_terminal,26,0.058,-10.3448,-10.3448
amenity,bicycle_repair_station,25,0.0558,-50.9804,-50.9804
amenity,driving_school,24,0.0536,14.2857,14.2857
amenity,shelter_emergency,23,0.0513,91.6667,91.6667
amenity,prison,22,0.0491,-24.1379,-24.1379
amenity,Douches et toilettes,22,0.0491,83.3333,83.3333
amenity,parcel_locker,20,0.0446,-35.4839,-35.4839
amenity,Ecole etzer vilaire,20,0.0446,66.6667,66.6667
amenity,eau brute,20,0.0446,66.6667,66.6667
amenity,eau potable,20,0.0446,66.6667,66.6667
amenity,gambling,19,0.0424,-95.1282,-95.1282
amenity,office,17,0.0379,-22.7273,-22.7273
amenity,eglise,17,0.0379,41.6667,41.6667
amenity,non,17,0.0379,41.6667,41.6667
amenity,research_institute,16,0.0357,-15.7895,-15.7895
