key,value,count,percent_of_total_changes_for_key
amenity,school,24104,20.7109
amenity,hospital,14242,12.2372
amenity,parking,8803,7.5638
amenity,place_of_worship,8317,7.1462
amenity,drinking_water,6663,5.7251
amenity,restaurant,4750,4.0814
amenity,toilets,3486,2.9953
amenity,college,2351,2.0201
amenity,bench,2302,1.978
amenity,bicycle_parking,2254,1.9367
amenity,pharmacy,2121,1.8224
amenity,fuel,2054,1.7649
amenity,clinic,2042,1.7546
amenity,bank,1989,1.709
amenity,parking_space,1935,1.6626
amenity,cafe,1797,1.544
amenity,recycling,1682,1.4452
amenity,bar,1451,1.2467
amenity,kindergarten,1451,1.2467
amenity,fast_food,1236,1.062
amenity,shelter,1165,1.001
amenity,waste_basket,1011,0.8687
amenity,police,971,0.8343
amenity,shower,949,0.8154
amenity,health_post,783,0.6728
amenity,public_building,764,0.6565
amenity,library,674,0.5791
amenity,university,598,0.5138
amenity,atm,541,0.4648
amenity,gambling,498,0.4279
amenity,fountain,472,0.4056
amenity,community_centre,448,0.3849
amenity,tap,443,0.3806
amenity,marketplace,437,0.3755
amenity,charging_station,384,0.3299
amenity,grave_yard,378,0.3248
amenity,street_light,375,0.3222
amenity,post_office,367,0.3153
amenity,bus_station,347,0.2982
amenity,ice_cream,327,0.281
amenity,waste_disposal,312,0.2681
amenity,dentist,311,0.2672
amenity,pub,297,0.2552
amenity,townhall,296,0.2543
amenity,studio,294,0.2526
amenity,vending_machine,292,0.2509
amenity,motorcycle_parking,288,0.2475
amenity,doctors,264,0.2268
amenity,cinema,263,0.226
amenity,embassy,249,0.2139
amenity,social_centre,241,0.2071
amenity,nightclub,188,0.1615
amenity,ctc,176,0.1512
amenity,social_facility,170,0.1461
amenity,parking_entrance,169,0.1452
amenity,shop,164,0.1409
amenity,utc,160,0.1375
amenity,theatre,154,0.1323
amenity,car_wash,152,0.1306
amenity,bureau_de_change,150,0.1289
amenity,arts_centre,147,0.1263
amenity,post_box,147,0.1263
amenity,veterinary,136,0.1169
